source_xlsx,source_row,legacy_code_reconstructed,variant_id,ownership_id,release_type,title
Bootlegs - +-1.xlsx,2,BJa,BOOT-0-0001,own-2000-001,bootleg,1977
Bootlegs - +-1.xlsx,3,BJb,BOOT-0-0002,,bootleg,1977
Bootlegs - +-1.xlsx,4,BJc,BOOT-0-0003,,bootleg,1977
Bootlegs - +-1.xlsx,5,BJd,BOOT-0-0004,,bootleg,1977
Bootlegs - +-1.xlsx,6,BJe,BOOT-0-0005,,bootleg,1977
Bootlegs - +-1.xlsx,7,B+1,BOOT-0-0006,,bootleg,1979
Bootlegs - +-1.xlsx,8,B+2,BOOT-0-0007,own-2000-002,bootleg,1979 BBC Recordings Radio Broadcast
Bootlegs - +-1.xlsx,9,B+3a,BOOT-0-0008,,bootleg,1979 Radio Sessions
Bootlegs - +-1.xlsx,10,B+3b,BOOT-0-0009,,bootleg,1979 Radio Sessions
Bootlegs - +-1.xlsx,11,B+3c,BOOT-0-0010,,bootleg,1979 Radio Sessions
Bootlegs - +-1.xlsx,12,B+3d,BOOT-0-0011,own-2000-003,bootleg,1979 Radio Sessions
Bootlegs - +-1.xlsx,13,B+3e,BOOT-0-0012,,bootleg,1979 Radio Sessions
Bootlegs - +-1.xlsx,14,B+3f,BOOT-0-0013,,bootleg,1979 Radio Sessions
Bootlegs - +-1.xlsx,15,B+3g,BOOT-0-0014,,bootleg,1979 Radio Sessions
Bootlegs - +-1.xlsx,16,B+4,BOOT-0-0015,,bootleg,1980
Bootlegs - +-1.xlsx,17,,BOOT-0-0016,own-2000-004,bootleg,24 hours
Bootlegs - +-1.xlsx,18,,BOOT-0-0017,own-2000-005,bootleg,24 hours
Bootlegs - +-1.xlsx,19,,BOOT-0-0018,own-2000-006,bootleg,+ - (plus minus)
Bootlegs - A.xlsx,2,,BOOT-A-0001,,bootleg,Abstract Sounds
Bootlegs - A.xlsx,3,,BOOT-A-0002,,bootleg,Abstract Sounds
Bootlegs - A.xlsx,4,,BOOT-A-0003,,bootleg,Abstract Sounds
Bootlegs - A.xlsx,5,,BOOT-A-0004,own-2000-007,bootleg,Abstract Sounds
Bootlegs - A.xlsx,6,,BOOT-A-0005,,bootleg,Abstract Sounds
Bootlegs - A.xlsx,7,,BOOT-A-0006,,bootleg,Abstract Sounds
Bootlegs - A.xlsx,8,,BOOT-A-0007,,bootleg,Abstract Sounds
Bootlegs - A.xlsx,9,,BOOT-A-0008,,bootleg,Abstract Sounds
Bootlegs - A.xlsx,10,,BOOT-A-0009,,bootleg,Abstract Sounds
Bootlegs - A.xlsx,11,BA1a,BOOT-0-0019,own-2000-008,bootleg,"A 30 Year Anniversary Tour 45
Joy Division / Buzzcocks - No Love lost (demo) / Whatever Happened To ?"
Bootlegs - A.xlsx,12,BA1b,BOOT-0-0020,,bootleg,"A 30 Year Anniversary Tour 45
Joy Division / Buzzcocks - No Love lost (demo) / Whatever Happened To ?"
Bootlegs - A.xlsx,13,BA1c,BOOT-0-0021,,bootleg,"A 30 Year Anniversary Tour 45
Joy Division / Buzzcocks - No Love lost (demo) / Whatever Happened To ?"
Bootlegs - A.xlsx,14,BA2,BOOT-A-0010,own-2000-009,bootleg,"Ajanta Cinema, Derby, UK, april 18, 1980"
Bootlegs - A.xlsx,15,,BOOT-A-0011,own-2000-010,bootleg,Ajanta Theatre Derby UK April 19th 1980 FM Broadcast
Bootlegs - A.xlsx,16,BA3,BOOT-A-0012,own-2000-011,bootleg,All God's Angels Beware
Bootlegs - A.xlsx,17,BA4,BOOT-A-0013,own-2000-012,bootleg,All the Lyrics
Bootlegs - A.xlsx,18,BA5,BOOT-A-0014,own-2000-013,bootleg,Alternate Unknown Pleasures
Bootlegs - A.xlsx,19,,BOOT-0-0022,,bootleg,(Alternate) Still
Bootlegs - A.xlsx,20,,BOOT-0-0023,own-2000-014,bootleg,(Alternate) Still
